State,Population,Area,Density,ObesityPercentMale,ObesityPercentFemale,ObesityPopulationFemale,ObesityPopulationMale,ObesityTotalPopulation,SmokerPercent,SmokerPopulation,GenderRatio,Male,Female,00-04,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Not Stated
Lakshadweep,64473,32 ,2013,,,,,,0.0,0.0,946,33131.03803,31341.96197,5052,5407,5998,5624,5829,2967,5437,5389,4608,3810,3066,2901,2034,1413,849,493,481,115
Ladakh,274000,96701 ,2.8,,,,,,0.0,0.0,853,147868.3216,126131.6784,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,380581,8249 ,46,,,,,,0.0,0.0,876,202868.3369,177712.6631,28754,30454,33467,33026,37115,41722,35723,32842,26735,23861,17296,13794,10376,6226,4098,2251,2473,368
Dadra and Nagar Haveli and Daman and Diu,585764,603 ,970,,,,,,0.0,0.0,711,342351.841,243412.15899999999,36561,36249,35003,33104,44301,39885,30641,25277,18181,13789,9503,6951,5831,3716,2309,958,1078,372
Chandigarh,1055450,114 ,9252,,,,,,13.7,144596.65,818,580555.5556,474894.4444,81854,91194,93464,104418,121244,110237,90803,83672,68921,60352,46942,34925,25801,15839,11385,6422,7631,346
Puducherry,1247953,479 ,2598,,,,,,11.2,139770.736,1037,612642.6117,635310.3883,93949,98717,105726,102316,108819,118244,111070,107459,89779,79305,60923,50109,43828,27983,22521,12789,13315,1101
Jammu and Kashmir,12541302,125535 ,98,6.2,16.7,986250.6435,411407.7905,1397658.4340000001,23.7,2972288.5739999996,890,6635609.524,5905692.476,1414884,1411973,1413853,1237462,1160913,1086122,926903,837945,714085,590790,468566,340031,322726,203965,184019,85076,126870,15119
Delhi,16787941,1484 ,11297,16.8,26.4,2059416.625,1509836.236,3569252.861,17.8,2988253.498,868,8987120.45,7800820.55,1381200,1535972,1648147,1667375,1764060,1668326,1434699,1319244,1097197,911213,687469,508892,472019,272452,189250,100693,113031,16702
Sikkim,610577,7096 ,86,11.9,15.4,44278.13948,38443.73704,82721.87652,17.9,109293.28300000001,890,323056.6138,287520.3862,42336,56678,66923,66937,67297,64639,52225,43627,36552,29462,24432,17541,13550,10483,7561,4516,4642,1716
Mizoram,1097206,21081 ,52,11.4,10.6,57445.6194,63300.34615,120745.9656,58.7,644059.922,976,555266.1943,541939.8057,121233,117788,116981,110343,111708,102346,88374,72384,58180,53175,44256,31177,24480,16170,12020,7784,8174,633
